accepted_moves,baseline_T1,baseline_V1,baseline_V2,baseline_bbox_volume,baseline_circuit_sha256,baseline_peak_tiles,baseline_rotations,bbox_increased,case,case_wall_seconds,converged,final_T1,final_V1,final_V2,final_bbox_volume,final_circuit_sha256,final_peak_tiles,final_rotations,full_verifications,fully_verified_baseline,improved,improvement_pct_V1,n_qubits,normalization,reason,record,screen_compilations,screen_compile_failures,source,status,tags,verification_rejections
1,76,232.33333333333334,11898,1241.3333333333333,7a37da6fdf5fd8cd754926b871c68b5fec16da754a0a2050041e2fb7d66476fd,31,0,False,bv_n14,88.606,True,76,229.66666666666666,11737,1241.3333333333333,e8a3618ea8b44d6832436cd4087805a33f70a4dbca41b7900f979af3ae1acf56,29,0,2,True,True,1.1477761836442002,14,renamed-register:qr->q+full-terminal-measurement,no_exact_metric_improvement,census_case_summary,28,0,QASMBench,completed,"['named', 'scale']",0
0,49,227.33333333333334,10804,800.3333333333334,9ed73206154e34370f3777df1dc0d5acdf934ee8ca8243870f8ae1aaf3f55bf1,27,0,False,bv_16,33.268,True,49,227.33333333333334,10804,800.3333333333334,9ed73206154e34370f3777df1dc0d5acdf934ee8ca8243870f8ae1aaf3f55bf1,27,0,1,True,False,0.0,16,,no_exact_metric_improvement,census_case_summary,16,0,family,completed,"['named', 'scale']",0
2,87,292.6666666666667,14914,1421.0,81882c0d425ee6cc507419d93e1fdff351b416cb94ca2d88a7387a0684170ebf,37,0,False,dj_16,179.15,True,87,287.3333333333333,14592,1421.0,44274e4e5df57a0ec584bb4a7799afdcdd3e38ad1e37fce1fc50cefa0e987066,33,0,3,True,True,1.8223234624145879,16,,no_exact_metric_improvement,census_case_summary,48,0,family,completed,"['named', 'scale']",0
0,2,10.666666666666666,416,32.666666666666664,04ac3f8f504bd3cd21e0b6fc598de51fe0d604e8281c7321770de9df32f9a8b0,16,0,False,ghz_16,1.622,True,2,10.666666666666666,416,32.666666666666664,04ac3f8f504bd3cd21e0b6fc598de51fe0d604e8281c7321770de9df32f9a8b0,16,0,1,True,False,0.0,16,,no_exact_metric_improvement,census_case_summary,16,0,family,completed,"['named', 'scale']",0
0,,,416,32.666666666666664,,16,0,False,graphstate_16,0.258,False,,,,,,,,1,False,False,0.0,16,,baseline_not_fully_verified,census_case_summary,0,0,family,incomplete,"['named', 'scale']",0
6,92,220.33333333333334,12105,2453.3333333333335,92814b1f84452fb5d404bfe266cbcdb3ec12292cb42980f236c4a6986492867b,12,0,True,teleport_8,408.493,True,92,208.33333333333334,11377,3373.3333333333335,0fe4bb01e6c42d1cf92154fb0a53c853c0cf10e552bc5888205cbf60a47cd758,11,0,7,True,True,5.446293494704991,17,,no_exact_metric_improvement,census_case_summary,119,9,custom,completed,['consumable'],0
0,2,12.0,468,42.0,230209be936267b0692bcd41d2ef2b7d381a5bb1526afd42b1ca7061d66e223f,18,0,False,bbpssw_8,2.072,True,2,12.0,468,42.0,230209be936267b0692bcd41d2ef2b7d381a5bb1526afd42b1ca7061d66e223f,18,0,1,True,False,0.0,18,,no_exact_metric_improvement,census_case_summary,18,0,custom,completed,['consumable'],0
4,104,388.6666666666667,19523,2808.0,b74abab459b356e5e510e9ad7edf90199f8843a38deabeec508cc914bf9c9b38,48,0,False,bv_n19,502.508,True,104,378.0,18907,2808.0,4e7c81b7146fe3d022b0bebf222f808fcb3f415c55d8f1bc96af894b06c6fc09,42,0,5,True,True,2.7444253859348233,19,renamed-register:qr->q+full-terminal-measurement,no_exact_metric_improvement,census_case_summary,95,0,QASMBench,completed,"['named', 'scale']",0
0,2,14.666666666666666,572,54.0,2d10d35b0d177e28a26e36921439467c8eb41381694fee51a45f2e0b6f141a86,22,0,False,cat_state_n22,2.702,True,2,14.666666666666666,572,54.0,2d10d35b0d177e28a26e36921439467c8eb41381694fee51a45f2e0b6f141a86,22,0,1,True,False,0.0,22,,no_exact_metric_improvement,census_case_summary,22,0,QASMBench,completed,"['named', 'scale']",0
0,2,15.333333333333334,598,54.0,89d0bbe8923708c36b4907721a930859912076056b7c3489d330674f9a4df927,23,0,False,ghz_state_n23,2.606,True,2,15.333333333333334,598,54.0,89d0bbe8923708c36b4907721a930859912076056b7c3489d330674f9a4df927,23,0,1,True,False,0.0,23,,no_exact_metric_improvement,census_case_summary,23,0,QASMBench,completed,"['named', 'scale']",0
2,104,767.3333333333334,35561,3432.0,c2dd81de031e822eba8ef86c097b8144e3970ea5c466dabb9764494704baf5ce,57,0,False,bv_n30,490.54,True,104,760.6666666666666,35162,3432.0,e7e24ff91914f437be00e7e4c18aff1a3767f4a6b7d47394ea2c54eb045c8e96,54,0,3,True,True,0.8688097306689957,30,renamed-register:q0->q+full-terminal-measurement,no_exact_metric_improvement,census_case_summary,90,0,QASMBench,completed,"['named', 'scale']",0
2,93,785.3333333333334,35952,3751.0,d27193f409e8603f0374fe305ba95c94a5656454a90bb640723f4d5b8f648035,54,0,False,bv_32,420.56,True,93,781.3333333333334,35707,3751.0,0144b57de7129919e9296ca456397f14183a0b37411cfece1cd13ce0d339b111,53,0,3,True,True,0.5093378607809895,32,,no_exact_metric_improvement,census_case_summary,96,0,family,completed,"['named', 'scale']",0
3,175,927.3333333333334,44913,7058.333333333333,0ada2c79196c32bb449d2e1096d34e51c2bff9bc0ac4773d125d7a1087c1358d,78,0,True,dj_32,1576.232,True,175,919.3333333333334,44437,7700.0,0be41b523cb578ddda75fd8b10b492571ab2c19ab2c783671bf74c5a6f832a92,74,0,4,True,True,0.8626887131560013,32,,no_exact_metric_improvement,census_case_summary,128,0,family,completed,"['named', 'scale']",0
0,2,21.333333333333332,832,80.66666666666667,b2ef59bbfab3d6de3782e73e1da02d269e038399a1ef60c2e237fdb86a5577fa,32,0,False,ghz_32,5.464,True,2,21.333333333333332,832,80.66666666666667,b2ef59bbfab3d6de3782e73e1da02d269e038399a1ef60c2e237fdb86a5577fa,32,0,1,True,False,0.0,32,,no_exact_metric_improvement,census_case_summary,32,0,family,completed,"['named', 'scale']",0
0,,,832,80.66666666666667,,32,0,False,graphstate_32,0.667,False,,,,,,,,1,False,False,0.0,32,,baseline_not_fully_verified,census_case_summary,0,0,family,incomplete,"['named', 'scale']",0
